date,league,home_team,away_team,home_rank,away_rank,home_form,away_form,home_expected_goals,away_expected_goals,home_goals,away_goals,result,prob_home,prob_draw,prob_away
2010-01-20,EPL,ManCity,Wolves,7,4,0.488,0.638,1.418,0.939,1,4,A,0.472,0.103,0.425
2010-01-22,EPL,Bournemouth,Chelsea,1,11,0.204,0.282,1.284,0.774,1,1,D,0.511,0.079,0.41
2010-01-23,EPL,Luton,CrystalPalace,16,7,0.436,0.445,1.548,0.76,1,0,H,0.59,0.048,0.362
2010-01-23,EPL,Brentford,Sheffield,8,14,0.051,0.391,1.422,0.671,1,1,D,0.738,0.048,0.214
2010-01-24,EPL,WestHam,AstonVilla,14,13,0.5,0.279,1.184,0.949,1,1,D,0.265,0.048,0.687
2010-01-24,EPL,Newcastle,Arsenal,15,8,0.705,0.132,1.614,0.695,1,3,A,0.554,0.052,0.393
2010-01-25,EPL,Brighton,Bournemouth,3,5,0.351,0.602,1.578,0.771,1,0,H,0.733,0.048,0.22
2010-01-26,EPL,Fulham,Burnley,20,7,0.308,0.58,1.113,1.041,0,0,D,0.315,0.048,0.637
2010-01-26,EPL,Arsenal,Bournemouth,9,12,0.585,0.125,1.3,0.846,2,0,H,0.345,0.048,0.607
2010-01-27,EPL,Chelsea,Luton,11,6,0.605,0.291,1.519,0.78,2,0,H,0.506,0.082,0.412
2010-01-28,EPL,CrystalPalace,Brentford,12,13,0.362,0.911,1.273,1.092,3,1,H,0.415,0.087,0.498
2010-01-29,EPL,Nottingham,Bournemouth,1,9,0.777,0.25,1.272,0.987,2,2,D,0.27,0.048,0.682
2010-01-30,EPL,WestHam,CrystalPalace,13,8,0.645,0.22,1.435,0.821,0,1,A,0.42,0.093,0.487
2010-01-30,EPL,CrystalPalace,ManCity,15,14,0.737,0.54,1.568,0.9,1,1,D,0.469,0.104,0.427
2010-01-30,EPL,Burnley,Bournemouth,4,16,0.524,0.482,0.923,1.205,1,1,D,0.103,0.048,0.85
2010-01-31,EPL,Burnley,ManCity,15,20,0.071,0.841,1.348,0.905,2,1,H,0.67,0.048,0.283
2010-01-31,EPL,Everton,Liverpool,15,5,0.451,0.662,1.533,0.861,1,1,D,0.616,0.048,0.336
2010-01-31,EPL,Newcastle,Chelsea,4,11,0.746,0.547,1.414,1.004,1,2,A,0.343,0.048,0.609
2010-02-02,EPL,Luton,Wolves,4,10,0.53,0.575,1.68,0.763,1,0,H,0.715,0.048,0.237
2010-02-02,EPL,Luton,ManUnited,16,6,0.83,0.123,1.874,0.574,3,0,H,0.774,0.048,0.179
2010-02-03,EPL,ManCity,Tottenham,12,10,0.846,0.841,1.767,0.935,0,2,A,0.602,0.048,0.35
2010-02-03,EPL,CrystalPalace,Chelsea,7,11,0.28,0.654,0.911,1.189,2,3,A,0.166,0.048,0.787
2010-02-04,EPL,Brentford,Arsenal,7,9,0.807,0.208,1.769,0.666,2,0,H,0.683,0.048,0.269
2010-02-05,EPL,Liverpool,Everton,13,5,0.063,0.59,1.088,0.967,1,1,D,0.413,0.083,0.504
2010-02-06,EPL,AstonVilla,Arsenal,7,4,0.496,0.552,1.618,0.78,0,1,A,0.686,0.048,0.267
2010-02-06,EPL,Everton,CrystalPalace,11,2,0.687,0.333,1.859,0.613,2,0,H,0.71,0.048,0.242
2010-02-06,EPL,Nottingham,Liverpool,14,11,0.349,0.361,1.287,0.858,2,0,H,0.43,0.109,0.461
2010-02-06,EPL,Arsenal,Bournemouth,12,6,0.816,0.275,1.659,0.766,2,0,H,0.529,0.068,0.403
2010-02-07,EPL,Fulham,Liverpool,17,13,0.884,0.585,1.668,0.91,3,1,H,0.485,0.095,0.42
2010-02-08,EPL,Tottenham,Liverpool,7,15,0.4,0.673,1.195,1.061,2,0,H,0.357,0.048,0.595
2010-02-08,EPL,Burnley,Luton,9,13,0.541,0.821,1.51,0.974,1,0,H,0.55,0.055,0.395
2010-02-10,EPL,Bournemouth,Tottenham,4,9,0.184,0.566,1.091,1.002,2,0,H,0.377,0.048,0.575
2010-02-13,EPL,Brentford,Nottingham,15,9,0.775,0.556,1.542,0.937,3,0,H,0.427,0.105,0.469
2010-02-13,EPL,Sheffield,Brentford,13,6,0.566,0.189,1.503,0.735,3,0,H,0.53,0.067,0.403
2010-02-15,EPL,Liverpool,Burnley,7,15,0.111,0.419,1.051,0.941,0,2,A,0.362,0.048,0.59
2010-02-15,EPL,WestHam,Chelsea,4,11,0.131,0.59,1.325,0.843,2,0,H,0.577,0.048,0.376
2010-02-16,EPL,Brighton,AstonVilla,1,11,0.773,0.696,1.508,1.014,0,3,A,0.409,0.076,0.515
2010-02-17,EPL,Nottingham,Newcastle,8,11,0.977,0.764,1.84,0.908,1,1,D,0.648,0.048,0.305
2010-02-19,EPL,Sheffield,Fulham,20,8,0.97,0.812,1.803,0.948,3,0,H,0.586,0.048,0.366
2010-02-19,EPL,Brighton,Chelsea,15,7,0.215,0.266,1.035,0.93,1,3,A,0.278,0.048,0.674
2010-02-19,EPL,ManUnited,Newcastle,11,8,0.694,0.711,1.633,0.91,1,1,D,0.599,0.048,0.353
2010-02-21,EPL,Luton,Nottingham,13,14,0.594,0.579,1.672,0.794,4,0,H,0.668,0.048,0.284
2010-02-21,EPL,Wolves,Liverpool,14,18,0.217,0.499,1.39,0.797,1,1,D,0.627,0.048,0.326
2010-02-22,EPL,AstonVilla,Chelsea,16,10,0.253,0.279,1.217,0.833,2,0,H,0.424,0.1,0.477
2010-02-23,EPL,Tottenham,Fulham,6,15,0.762,0.882,1.913,0.826,5,0,H,0.717,0.048,0.236
2010-02-23,EPL,WestHam,ManCity,12,4,0.464,0.762,1.552,0.894,2,1,H,0.609,0.048,0.343
2010-02-24,EPL,Liverpool,AstonVilla,1,8,0.148,0.877,1.368,0.936,1,0,H,0.654,0.048,0.298
2010-02-25,EPL,WestHam,Everton,6,12,0.429,0.499,1.552,0.776,4,2,H,0.634,0.048,0.318
2010-02-25,EPL,Bournemouth,Liverpool,4,15,0.432,0.137,1.373,0.746,2,1,H,0.453,0.114,0.433
2010-02-25,EPL,Bournemouth,Burnley,14,20,0.056,0.378,1.414,0.672,0,1,A,0.744,0.048,0.208
2010-02-26,EPL,Chelsea,Luton,16,20,0.572,0.227,1.564,0.714,0,0,D,0.584,0.048,0.368
2010-02-26,EPL,Nottingham,Brentford,8,10,0.444,0.645,1.057,1.155,2,1,H,0.217,0.048,0.736
2010-02-26,EPL,Nottingham,Wolves,13,1,0.399,0.576,1.308,0.95,2,0,H,0.425,0.103,0.472
2010-02-27,EPL,Fulham,Brighton,4,5,0.265,0.339,1.164,0.896,0,2,A,0.392,0.051,0.556
2010-02-27,EPL,Chelsea,Tottenham,20,13,0.459,0.597,1.372,0.941,2,0,H,0.437,0.12,0.444
2010-02-28,EPL,Liverpool,Wolves,10,8,0.31,0.146,1.286,0.759,1,0,H,0.438,0.123,0.439
2010-03-01,EPL,Newcastle,Burnley,6,20,0.377,0.34,1.268,0.873,1,0,H,0.419,0.093,0.488
2010-03-02,EPL,AstonVilla,CrystalPalace,7,9,0.733,0.546,1.601,0.879,1,3,A,0.523,0.071,0.406
2010-03-03,EPL,Fulham,CrystalPalace,9,10,0.894,0.607,1.865,0.797,3,2,H,0.675,0.048,0.277
2010-03-03,EPL,Brighton,Everton,8,15,0.229,0.58,1.559,0.727,3,1,H,0.797,0.048,0.155
2010-03-03,EPL,AstonVilla,CrystalPalace,15,15,0.597,0.812,1.539,0.974,2,0,H,0.536,0.064,0.401
2010-03-04,EPL,Sheffield,Burnley,10,16,0.225,0.223,1.512,0.613,1,1,D,0.666,0.048,0.287
2010-03-04,EPL,Brighton,Nottingham,11,14,0.16,0.411,0.944,1.025,3,2,H,0.263,0.048,0.69
2010-03-05,EPL,Everton,Luton,7,17,0.155,0.158,1.283,0.706,0,1,A,0.578,0.048,0.375
2010-03-05,EPL,Brentford,Everton,2,17,0.892,0.659,1.983,0.743,1,0,H,0.783,0.048,0.169
2010-03-06,EPL,Newcastle,Burnley,11,3,0.415,0.596,1.246,1.004,3,0,H,0.35,0.048,0.602
2010-03-07,EPL,Bournemouth,ManUnited,1,15,0.428,0.766,1.547,0.886,1,1,D,0.67,0.048,0.282
2010-03-09,EPL,Wolves,Luton,16,3,0.276,0.701,1.271,0.977,1,0,H,0.445,0.119,0.436
2010-03-09,EPL,Sheffield,CrystalPalace,13,8,0.359,0.658,1.288,0.981,1,0,H,0.428,0.107,0.464
2010-03-12,EPL,Burnley,Newcastle,18,12,0.338,0.6,1.791,0.629,2,0,H,0.872,0.048,0.08
2010-03-15,EPL,Chelsea,Nottingham,11,7,0.102,0.474,1.26,0.827,2,1,H,0.587,0.048,0.365
2010-03-15,EPL,Bournemouth,Everton,6,15,0.677,0.309,1.634,0.742,1,3,A,0.594,0.048,0.358
2010-03-16,EPL,Luton,AstonVilla,15,2,0.307,0.496,1.07,1.035,2,0,H,0.374,0.048,0.579
2010-03-17,EPL,Liverpool,Arsenal,14,7,0.915,0.617,1.763,0.874,3,0,H,0.564,0.048,0.389
2010-03-18,EPL,Brighton,ManUnited,10,10,0.499,0.595,1.237,1.041,2,1,H,0.334,0.048,0.618
2010-03-19,EPL,Liverpool,Brentford,14,9,0.646,0.087,1.149,0.95,0,1,A,0.138,0.048,0.814
2010-03-19,EPL,Nottingham,AstonVilla,5,12,0.716,0.756,1.649,0.926,0,2,A,0.55,0.055,0.395
2010-03-19,EPL,Burnley,AstonVilla,11,19,0.118,0.804,1.304,0.937,1,1,D,0.578,0.048,0.375
2010-03-19,EPL,Arsenal,Brentford,12,7,0.55,0.929,1.419,1.079,0,2,A,0.433,0.115,0.452
2010-03-21,EPL,ManUnited,AstonVilla,15,14,0.5,0.451,1.314,0.935,0,0,D,0.4,0.062,0.538
2010-03-22,EPL,Brentford,Fulham,13,9,0.794,0.186,1.829,0.614,3,0,H,0.715,0.048,0.237
2010-03-22,EPL,Bournemouth,Everton,6,12,0.981,0.665,1.707,0.954,0,0,D,0.459,0.11,0.43
2010-03-23,EPL,Luton,Newcastle,6,9,0.795,0.548,1.552,0.935,0,1,A,0.426,0.103,0.47
2010-03-24,EPL,Chelsea,Sheffield,12,17,0.189,0.635,1.048,1.059,1,0,H,0.318,0.048,0.635
2010-03-24,EPL,Chelsea,Brighton,10,7,0.231,0.616,1.129,1.016,1,1,D,0.369,0.048,0.584
2010-03-25,EPL,Brighton,WestHam,4,15,0.554,0.442,1.363,0.921,2,1,H,0.399,0.062,0.539
2010-03-26,EPL,Brighton,Bournemouth,8,1,0.377,0.664,1.548,0.825,0,1,A,0.651,0.048,0.302
2010-03-26,EPL,Fulham,Brentford,15,2,0.622,0.719,1.639,0.882,2,1,H,0.631,0.048,0.322
2010-03-27,EPL,Wolves,Liverpool,11,13,0.592,0.297,1.294,0.922,1,1,D,0.347,0.048,0.605
2010-03-27,EPL,Sheffield,Wolves,4,14,0.758,0.445,1.482,0.924,2,1,H,0.406,0.073,0.521
2010-03-28,EPL,Tottenham,Nottingham,18,8,0.636,0.777,1.557,0.963,0,0,D,0.519,0.074,0.407
2010-03-30,EPL,Wolves,Arsenal,3,9,0.262,0.236,1.448,0.673,5,0,H,0.607,0.048,0.345
2010-03-31,EPL,Fulham,Wolves,7,12,0.197,0.318,0.885,1.039,0,2,A,0.191,0.048,0.762
2010-03-31,EPL,Nottingham,Luton,7,12,0.438,0.579,1.379,0.921,3,0,H,0.458,0.111,0.431
2010-03-31,EPL,Tottenham,AstonVilla,8,10,0.861,0.648,1.921,0.766,0,1,A,0.715,0.048,0.237
2010-04-01,EPL,Luton,Newcastle,20,12,0.754,0.559,1.618,0.882,2,1,H,0.522,0.072,0.406
2010-04-01,EPL,Brighton,ManCity,10,4,0.417,0.755,1.415,0.961,3,0,H,0.54,0.061,0.399
2010-04-02,EPL,Luton,ManUnited,17,7,0.774,0.229,1.665,0.728,4,0,H,0.558,0.05,0.392
2010-04-02,EPL,Tottenham,Bournemouth,6,13,0.914,0.308,1.493,0.922,2,0,H,0.331,0.048,0.622
2010-04-02,EPL,Newcastle,ManCity,13,8,0.399,0.399,1.487,0.765,2,2,D,0.63,0.048,0.322
2010-04-03,EPL,AstonVilla,Luton,11,9,0.355,0.262,1.038,0.98,2,1,H,0.194,0.048,0.758
2010-04-03,EPL,ManUnited,AstonVilla,18,15,0.476,0.842,1.329,1.073,3,2,H,0.41,0.078,0.512
2010-04-04,EPL,Arsenal,Tottenham,13,4,0.384,0.269,1.324,0.812,1,1,D,0.436,0.119,0.446
2010-04-05,EPL,Sheffield,Nottingham,14,6,0.583,0.593,1.135,1.138,2,0,H,0.172,0.048,0.781
2010-04-06,EPL,Fulham,Sheffield,8,10,0.53,0.593,1.385,0.958,1,1,D,0.422,0.097,0.481
2010-04-07,EPL,CrystalPalace,Bournemouth,11,2,0.875,0.31,1.644,0.812,2,0,H,0.469,0.104,0.427
2010-04-07,EPL,Brighton,WestHam,20,3,0.685,0.26,1.787,0.628,4,1,H,0.665,0.048,0.287
2010-04-08,EPL,Burnley,Bournemouth,8,7,0.426,0.594,1.394,0.914,1,3,A,0.476,0.1,0.424
2010-04-08,EPL,Brighton,ManCity,8,4,0.373,0.64,1.53,0.825,1,1,D,0.673,0.048,0.279
2010-04-09,EPL,CrystalPalace,WestHam,6,7,0.895,0.422,1.553,0.922,1,3,A,0.396,0.056,0.548
2010-04-10,EPL,Newcastle,Burnley,8,7,0.563,0.254,1.608,0.693,0,0,D,0.622,0.048,0.33
2010-04-10,EPL,AstonVilla,CrystalPalace,7,13,0.621,0.32,1.498,0.812,0,3,A,0.468,0.105,0.427
2010-04-11,EPL,Burnley,Newcastle,13,9,0.628,0.297,1.612,0.733,2,0,H,0.603,0.048,0.349
2010-04-11,EPL,Tottenham,AstonVilla,10,7,0.211,0.854,1.491,0.873,4,1,H,0.705,0.048,0.248
2010-04-11,EPL,Liverpool,Nottingham,11,12,0.028,0.444,1.112,0.881,0,1,A,0.436,0.119,0.445
2010-04-12,EPL,Fulham,Tottenham,15,8,0.327,0.287,1.339,0.787,2,1,H,0.502,0.084,0.414
2010-04-12,EPL,AstonVilla,Nottingham,4,18,0.255,0.699,1.21,1.007,0,0,D,0.419,0.093,0.488
2010-04-12,EPL,Bournemouth,Sheffield,11,10,0.483,0.676,1.514,0.891,1,1,D,0.56,0.049,0.391
2010-04-12,EPL,ManCity,Brentford,2,6,0.035,0.412,0.986,0.951,1,0,H,0.361,0.048,0.591
2010-04-13,EPL,Sheffield,Tottenham,11,11,0.521,0.687,1.548,0.889,2,1,H,0.591,0.048,0.361
2010-04-13,EPL,Everton,Luton,8,9,0.475,0.87,1.763,0.807,2,1,H,0.787,0.048,0.165
2010-04-13,EPL,Burnley,AstonVilla,9,14,0.155,0.51,1.105,0.96,3,1,H,0.397,0.057,0.546
2010-04-14,EPL,Fulham,CrystalPalace,9,14,0.9,0.292,1.591,0.848,2,0,H,0.418,0.09,0.492
2010-04-15,EPL,Liverpool,Brentford,3,11,0.599,0.782,1.605,0.92,2,0,H,0.624,0.048,0.328
2010-04-15,EPL,AstonVilla,Tottenham,10,13,0.657,0.369,1.537,0.82,1,1,D,0.481,0.097,0.422
2010-04-15,EPL,CrystalPalace,Chelsea,11,15,0.026,0.186,1.063,0.808,0,4,A,0.412,0.081,0.507
2010-04-16,EPL,Newcastle,Arsenal,15,8,0.653,0.886,1.789,0.865,3,3,D,0.695,0.048,0.258
2010-04-16,EPL,WestHam,CrystalPalace,10,14,0.545,0.278,1.365,0.851,0,1,A,0.415,0.086,0.499
2010-04-17,EPL,ManUnited,Wolves,8,10,0.896,0.516,1.728,0.849,2,1,H,0.58,0.048,0.372
2010-04-20,EPL,Newcastle,Fulham,9,10,0.658,0.688,1.446,1.006,1,1,D,0.415,0.086,0.5
2010-04-21,EPL,ManCity,Fulham,11,8,0.84,0.75,1.637,0.979,2,1,H,0.472,0.103,0.425
2010-04-22,EPL,Burnley,WestHam,12,10,0.178,0.666,1.109,1.029,0,2,A,0.393,0.051,0.556
2010-04-24,EPL,Wolves,Tottenham,11,14,0.519,0.841,1.515,0.971,1,1,D,0.565,0.048,0.387
2010-04-25,EPL,Burnley,Chelsea,20,11,0.406,0.611,1.282,0.984,0,0,D,0.408,0.075,0.518
2010-04-25,EPL,Brighton,ManUnited,6,7,0.493,0.152,1.411,0.751,3,2,H,0.459,0.111,0.431
2010-04-26,EPL,Newcastle,AstonVilla,1,17,0.515,0.206,1.131,0.959,0,2,A,0.178,0.048,0.775
2010-04-26,EPL,Sheffield,Bournemouth,10,19,0.096,0.414,1.059,0.928,2,1,H,0.396,0.057,0.547
2010-05-01,EPL,WestHam,Everton,9,11,0.501,0.081,1.464,0.692,1,2,A,0.529,0.068,0.403
2010-05-02,EPL,Burnley,Wolves,9,13,0.3,0.202,1.019,0.947,1,0,H,0.244,0.048,0.708
2010-05-02,EPL,CrystalPalace,Tottenham,3,1,0.257,0.214,1.666,0.523,0,1,A,0.788,0.048,0.164
2010-05-03,EPL,Sheffield,AstonVilla,14,12,0.339,0.796,1.465,0.916,0,0,D,0.613,0.048,0.34
2010-05-04,EPL,Burnley,Arsenal,16,8,0.475,0.639,1.565,0.841,2,0,H,0.632,0.048,0.32
2010-05-04,EPL,Nottingham,CrystalPalace,12,4,0.745,0.142,1.562,0.747,2,0,H,0.458,0.111,0.431
2010-05-07,EPL,Bournemouth,WestHam,15,17,0.257,0.671,1.249,0.972,1,1,D,0.435,0.118,0.447
2010-05-07,EPL,Chelsea,Newcastle,6,9,0.833,0.785,1.502,1.076,1,0,H,0.389,0.048,0.563
2010-05-07,EPL,Newcastle,Luton,15,19,0.337,0.126,1.384,0.699,3,1,H,0.548,0.056,0.396
2010-05-08,EPL,Tottenham,Bournemouth,8,17,0.777,0.361,1.521,0.873,0,2,A,0.415,0.086,0.499
2010-05-08,EPL,Arsenal,ManCity,4,8,0.78,0.383,1.807,0.701,2,0,H,0.713,0.048,0.239
2010-05-09,EPL,Brentford,ManUnited,17,11,0.682,0.744,1.589,0.947,2,1,H,0.549,0.055,0.395
2010-05-10,EPL,Burnley,Luton,17,8,0.927,0.906,1.737,1.011,2,1,H,0.533,0.065,0.402
2010-05-11,EPL,ManUnited,Arsenal,18,3,0.684,0.686,1.537,0.957,2,1,H,0.473,0.102,0.425
2010-05-12,EPL,Burnley,Brighton,17,19,0.133,0.287,1.295,0.741,2,0,H,0.604,0.048,0.348
2010-05-12,EPL,Chelsea,ManUnited,14,16,0.338,0.08,1.281,0.746,1,0,H,0.427,0.105,0.468
2010-05-13,EPL,Sheffield,Brentford,5,4,0.235,0.347,1.15,0.896,0,0,D,0.396,0.056,0.548
2010-05-15,EPL,Burnley,Nottingham,8,7,0.406,0.086,1.287,0.771,2,2,D,0.412,0.081,0.508
2010-05-18,EPL,Brighton,Newcastle,15,9,0.614,0.796,1.665,0.893,2,0,H,0.683,0.048,0.27
2010-05-18,EPL,Burnley,Arsenal,4,8,0.139,0.413,0.944,1.018,1,1,D,0.239,0.048,0.714
2010-05-22,EPL,Luton,Newcastle,14,13,0.449,0.13,1.762,0.502,1,1,D,0.791,0.048,0.162
2010-05-22,EPL,Fulham,Brighton,8,13,0.364,0.369,1.428,0.778,3,1,H,0.582,0.048,0.37
2010-05-22,EPL,ManCity,Brighton,15,10,0.669,0.509,1.392,0.973,1,1,D,0.361,0.048,0.592
2010-05-23,EPL,Bournemouth,Sheffield,10,2,0.426,0.377,1.331,0.867,2,0,H,0.429,0.108,0.463
2010-05-25,EPL,Sheffield,WestHam,2,17,0.303,0.442,1.331,0.845,0,2,A,0.499,0.086,0.415
2010-05-26,EPL,Burnley,WestHam,4,1,0.602,0.029,1.647,0.593,2,0,H,0.66,0.048,0.292
2010-05-26,EPL,ManCity,WestHam,7,19,0.548,0.565,1.112,1.128,0,1,A,0.236,0.048,0.717
2010-05-26,EPL,WestHam,CrystalPalace,11,18,0.583,0.605,1.637,0.823,1,0,H,0.679,0.048,0.273
2010-05-27,EPL,CrystalPalace,Liverpool,6,7,0.526,0.961,1.337,1.134,0,1,A,0.393,0.051,0.556
2010-05-28,EPL,AstonVilla,Wolves,12,8,0.137,0.466,1.139,0.914,0,1,A,0.419,0.093,0.488
2010-05-29,EPL,Wolves,Chelsea,13,12,0.418,0.42,1.484,0.784,4,1,H,0.587,0.048,0.366
2010-05-30,EPL,Wolves,Chelsea,1,9,0.242,0.439,1.308,0.836,0,1,A,0.511,0.079,0.41
2010-05-31,EPL,ManUnited,Chelsea,7,14,0.448,0.119,1.449,0.696,1,0,H,0.522,0.072,0.406
2010-05-31,EPL,Wolves,AstonVilla,10,8,0.548,0.833,1.513,0.979,3,1,H,0.569,0.048,0.383
2010-05-31,EPL,Fulham,Everton,8,14,0.133,0.369,1.177,0.849,2,0,H,0.437,0.121,0.441
2010-06-02,EPL,Nottingham,Tottenham,15,1,0.553,0.207,1.462,0.764,4,1,H,0.482,0.096,0.421
2010-06-02,EPL,Newcastle,AstonVilla,12,14,0.098,0.718,1.358,0.86,3,0,H,0.666,0.048,0.287
2010-06-03,EPL,Liverpool,Nottingham,18,13,0.646,0.422,1.634,0.776,2,3,A,0.598,0.048,0.354
2010-06-03,EPL,Fulham,AstonVilla,5,5,0.46,0.201,1.502,0.7,2,1,H,0.606,0.048,0.347
2010-06-03,EPL,Nottingham,Luton,7,9,0.746,0.829,1.709,0.929,4,2,H,0.608,0.048,0.345
2010-06-04,EPL,Brighton,Brentford,6,15,0.504,0.265,1.397,0.809,3,0,H,0.436,0.119,0.445
2010-06-04,EPL,Bournemouth,Nottingham,10,20,0.069,0.331,1.065,0.881,3,1,H,0.396,0.057,0.547
2010-06-06,EPL,Fulham,ManCity,17,14,0.639,0.54,1.609,0.836,1,0,H,0.616,0.048,0.337
2010-06-06,EPL,Nottingham,Burnley,12,9,0.256,0.273,1.076,0.922,2,0,H,0.294,0.048,0.658
2010-06-06,EPL,Everton,Bournemouth,11,13,0.454,0.748,1.571,0.873,1,1,D,0.661,0.048,0.291
2010-06-07,EPL,Sheffield,Nottingham,1,12,0.707,0.418,1.495,0.886,2,1,H,0.426,0.103,0.472
2010-06-07,EPL,Liverpool,Newcastle,12,16,0.305,0.447,1.164,0.954,2,1,H,0.389,0.048,0.564
2010-06-07,EPL,Newcastle,ManUnited,7,4,0.574,0.4,1.172,1.033,0,0,D,0.284,0.048,0.669
2010-06-09,EPL,Burnley,CrystalPalace,10,13,0.295,0.514,1.393,0.832,2,1,H,0.589,0.048,0.364
2010-06-09,EPL,CrystalPalace,WestHam,15,10,0.31,0.757,1.204,1.055,0,1,A,0.396,0.057,0.547
2010-06-09,EPL,Luton,Brentford,1,1,0.832,0.113,1.413,0.864,0,1,A,0.334,0.048,0.619
2010-06-10,EPL,AstonVilla,Arsenal,13,6,0.643,0.819,1.719,0.88,3,2,H,0.631,0.048,0.321
2010-06-10,EPL,Nottingham,Luton,9,6,0.431,0.845,1.477,0.962,2,1,H,0.586,0.048,0.367
2010-06-10,EPL,ManCity,Tottenham,15,8,0.324,0.327,1.625,0.621,2,0,H,0.841,0.048,0.111
2010-06-11,EPL,Wolves,Nottingham,1,17,0.407,0.33,1.434,0.775,0,1,A,0.551,0.055,0.395
2010-06-11,EPL,Wolves,Sheffield,7,12,0.209,0.297,1.244,0.807,2,2,D,0.47,0.104,0.426
2010-06-12,EPL,ManCity,AstonVilla,7,13,0.567,0.338,1.365,0.883,4,0,H,0.386,0.048,0.566
2010-06-12,EPL,WestHam,AstonVilla,15,18,0.34,0.837,0.936,1.269,3,1,H,0.289,0.048,0.663
2010-06-12,EPL,Fulham,WestHam,1,7,0.956,0.683,1.725,0.94,1,1,D,0.501,0.085,0.414
2010-06-13,EPL,Brentford,Newcastle,13,13,0.656,0.31,1.448,0.853,0,1,A,0.414,0.085,0.502
